Membership No  Date Joined  Active  
    54466      2020-10-24   no    
    13080      2019-8-2     no    
    19420      2020-9-5     no    
    16694      2020-1-20    no    
    53859      2015-12-24   no    
    96081      2016-5-10    no    
    26593      2019-1-6     no    
    90974      2019-6-1     no    
    21340      2017-4-10    no    
    42649      2019-2-7     no    
    56666      2020-2-18    no    
    78143      2020-4-6     no    
    62536      2020-11-25   no    
    50884      2018-1-11    no    
    82619      2016-9-9     no    
